Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-3625,National Institute for Environmental Studies,Thecadinium,kofoidii,Dinophyta,Dinophyceae,Phalacroma kofoidii Herdman 1924; Amphidinium kofoidii var. petasatum Herdman 1922; Thecadinium petasatum Kofoid & Skogsberg 1928; Thecadinium petasatum Dodge 1982,"Yashima Bay,",,,,Intertidal (Beach),Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3627,National Institute for Environmental Studies,Chlamydomonas,sp.,Chlorophyta,Chlorophyceae,,"Yashima Bay,",,,,Inner bay,Unialgal; Non-axenic,Cryopreservation,Uncertain,,Phototaxis,"
"
NIES-3628,National Institute for Environmental Studies,Chlamydomonas,sp.,Chlorophyta,Chlorophyceae,,,,,,Cultivation tank,Unialgal; Non-axenic,Subculture,Uncertain,,Phototaxis,"
"
NIES-3629,National Institute for Environmental Studies,Dunaliella,sp.,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3630,National Institute for Environmental Studies,Oltmannsiellopsis,viridis,Chlorophyta,Ulvophyceae,Oltmannsiella viridis P.E.Hargraves & R.L.Steele 1980,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3631,National Institute for Environmental Studies,Oltmannsiellopsis,unicellularis,Chlorophyta,Ulvophyceae,,"Yashima Bay,",,,,Inner bay,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3632,National Institute for Environmental Studies,Desmodesmus,komarekii,Chlorophyta,Chlorophyceae,Scenedesmus komarekii E.Hegewald,"off Takamatsu, Seto Inland Sea,",,,,,Unialgal; Non-axenic,Cryopreservation,Uncertain,,,"
"
NIES-3637,National Institute for Environmental Studies,Coolia ,malayensis,Dinophyta,Dinophyceae,,,,,,Coral Reef,Unialgal; Non-axenic,Subculture,Uncertain,Toxicity (Wakeman et al. 2011) ,Benthic; Epiphytic,"
"
NIES-3638,National Institute for Environmental Studies,Galdieria,sulphuraria,Rhodophyta,Cyanidiophyceae,Pleurococcus sulphurarius Galdieri; Cyanidium sulphurarium (Galdieri) F.D.Ott 1994,"Mt. Lawu, Java,",,,,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,,Thermophilic; Acidophilic,"
"
NIES-3639,National Institute for Environmental Studies,Stichococcus ,bacillaris,Chlorophyta,Trebouxiophyceae,Stichococcus minor N?geli 1849; Protococcus bacillaris N?geli ex K?tzing 1849; Stichococcus major N?geli 1849; Stichococcus bacillaris var. major (N?geli) Rabenhorst 1868; Stichococcus bacillaris var. minor (N?geli) Rabenhorst 1868; Stichococcus bacillaris var. fungicola Lagerheim 1884; Stichococcus pallescens Chodat 1909; Stichococcus membranaefaciens Chodat 1913; Stichococcus dubius Chodat 1913; Stichococcus bacillaris var. viridis H.Nakano 1917; Stichococcus nivalis Chodat 1922; Stichococcus bacillaris f. nivalis (Chodat) Printz 1964; Stichococcus viridis Nakano 1988,"Aoba-dori,",,,,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Uncertain,,Aerial; Epiphytic,"
"
