;LEGE 07171;N17084;Synechococcus nidulans;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07298;N17085;Nodosilinea sp.;CIIMAR;B;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06104;N17086;Nodosilinea nodulosa;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06120;N17087;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06147;N17088;unidentified Pleurocapsales;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 13412;N17089;Leptolyngbya-like sp.;CIIMAR;UNKNOWN;UNKNOWN;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06101;N17090;Nodosilinea nodulosa;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06016;N17091;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06220;N17092;Tychonema sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07216;N17093;Tychonema sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 91338;N17094;Microcystis aeruginosa;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00037;N17095;Synechocystis salina;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07186;N17096;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 08334;N17097;Sphaerospermopsis sp.;CIIMAR;F;Mexico;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06129;N17098;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06193;N17099;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07217;N17100;Tychonema sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07309;N17101;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06022;N17102;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06024;N17103;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06099;N17104;Synechocystis salina;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06174;N17105;Chroococcidiopsis sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 91339;N17106;Microcystis aeruginosa;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/a, 25ºC, 14h:10h
;LEGE 06015;N17107;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06098;N17108;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07367;N17109;Synechocystis sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06021;N17110;unidentified filamentous Synechococcales;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
